id,name,summary,cultivation,toxicity
124,Fittonia albivenis,"Fittonia albivenis is a species of flowering plant in the family Acanthaceae, native to the rainforests of Colombia, Peru, Bolivia, Ecuador and northern Brazil. An evergreen perennial, it is notable for its dark green foliage with strongly contrasting white or red veins. It is commonly called nerve plant or mosaic plant. In temperate regions where the temperature falls below 10 °C (50 °F) it must be grown as a houseplant.

","The species is used as an ornamental plant that requires fertile soils or substrates based on peat. It is best kept in a moist area with mild sunlight, although it does not demand much light, and temperatures above 55 °F (13 °C). As such, in temperate locations it must be kept under glass as a houseplant.
It must be watered regularly. Without water for a few days, it is known to ""faint"" but is easily revived with a quick watering and resumes its healthiness. Fittonia albivenis is known to be hard to grow, so it is best bought at a nursery then cared for. Its spreading habit makes it ideal as groundcover.
Numerous cultivars have been selected, falling into two cultivar groups, the Argyroneura Group (formerly F. argyroneura, F. verschaffeltii var. argyroneura) with silver to white veins, and the Verschaffeltii Group (formerly F. verschaffeltii) with pink to red veins, both of which have gained the Royal Horticultural Society's Award of Garden Merit.",No data available
125,Fittonia gigantea,"Fittonia (or nerve plant or mosaic plant) is a genus of evergreen perennial flowering plants in the acanthus ('bear’s britches') family, Acanthaceae. The genus is native to tropical and subtropical forested areas in northern and western South America, mainly Perú.
The most commonly cultivated species is F. albivenis and its range of  cultivars. They are low-lying, forest floor plants, typically only growing between 10–15 cm (4–6 in) tall, without the 5-10 cm (1-4 in) tall flower stalks. The main feature of the species is its lush, green foliage, streaked with veins of white to deep pink, depending on cultivar; this veining earns the plant its common name of 'Nerve-Plant', as the ""network"" of vessels appears to resemble the layout of a nervous system. The plants also possess a short fuzz on their stems, like other acanthus family genera. Small buds may appear after a time where the stem splits into leaves. 
With a spreading growth habit making it ideal as a shaded garden groundcover, Fittonia can easily be propagated by taking cuttings or by pruning the growing tips. These fresh clippings will regrow roots simply by placing the cut ends in a vessel of water in a bright, albeit indirectly-lit, location. Optionally, this method of ""water-propagation"" may be avoided altogether, as most cuttings may be placed directly into moist substrate, such as sphagnum moss, perlite, coconut (coco) fiber, well-aerated soil, or even LECA (hydroton clay balls). As most plant species will do after being pruned, the trimmed section(s) of the mother plant will be triggered to grow new leaves in a matter of weeks. 
The flowers are rather small, appearing on angular-sided bloom spikes, with a white to off-white colour. Fittonia inflorescences are quite reminiscent of those of the related genus Hypoestes (polka-dot plants); additionally, like the Hypoestes, Fittonia are best kept in a moist area with mild, indirect but bright sunlight, or under screening outdoors in appropriate climates. They thrive in ambient temperatures above 55 °F (13 °C), thus, in temperate areas, they must be grown as houseplants. Notoriously thirsty plants, Fittonia (and Hypoestes) are known to ""faint"" or wilt when the top layer of substrate begins to dry, but is quickly revived with watering. The plants respond especially well to ""bottom watering"", or by submerging a potted specimen in a tray of water instead of pouring water from above. This has the added benefit of keeping the leaves free of water droplets or splashed dirt, which could both lead to fungal infections, such as powdery mildew.

",No data available,No data available
126,Goeppertia fasciata,"Goeppertia fasciata (syn. Calathea fasciata), is a species of flowering plant in the family Marantaceae. Native to wet tropical areas of northeastern Brazil, it is occasionally kept as a houseplant. There appears to be a cultivar, 'Borrusica'.",No data available,No data available
127,Goeppertia insignis,"Goeppertia insignis (syn. Calathea lancifolia, Goeppertia lancifolia), the rattlesnake plant, is a species of flowering plant in the Marantaceae family, native to Rio de Janeiro state in Brazil.  
It is an evergreen perennial, growing to 60–75 cm (24–30 in), with slender pale green leaves to 45 cm (18 in), heavily marked above with dark blotches, purple below.
In the Peruvian Amazon, the plant is used for wrapping brown sugar.

","Goeppertia insignis prefers indirect sunlight. These plants want well-drained, but moist, soil. They like a pH of 6.1 to 7.3. The plant requires a minimum temperature of 16 °C (61 °F), and it is commonly used as a houseplant in temperate regions.",No data available
128,Goeppertia kegeljanii,"Goeppertia kegeljanii is a species of flowering plant in the family Marantaceae. Native to Espírito Santo in Brazil, it is commonly also known by its synonym Calathea mosaica in the houseplant trade, due to the mosaic-like patterning on its leaves. As an ornamental plant, it is noted for its light green, oval leaves with a fine venation of yellow.

",No data available,No data available
129,Goeppertia makoyana,"Goeppertia makoyana (syn. Calathea makoyana), also known as peacock plant or cathedral windows, is a species of plant belonging to the genus Goeppertia in the family Marantaceae, native to Espírito Santo state of eastern Brazil. It has gained the Royal Horticultural Society's Award of Garden Merit.

",No data available,No data available
130,Goeppertia ornata,"Goeppertia ornata (syn. Calathea ornata, also called variously striped, pin-stripe, or pin-stripe calathea) is a species of perennial plant in the family known as the prayer plants. It is native to South America (Colombia, Venezuela), and is cultivated in temperate countries as a houseplant.",No data available,No data available
131,Goeppertia picturata,"Goeppertia picturata is a species of plant now classified as belonging to the genus Goeppertia in the family Marantaceae. It is native to northwest Brazil. and has been introduced to Colombia, Peru, the Leeward Islands, and the Windward Islands.
It grows as a 35–40 cm (14–16 in) clump-forming evergreen perennial. The leaves are dark green above, purple below, marked heavily with silver along the veins and midriff. It is tender, with a minimum temperature of 16 °C (61 °F) required, and in temperate areas is cultivated indoors as a houseplant.
The Goeppertia picturata cultivar 'Argentea', with silver leaves edged in green, has gained the Royal Horticultural Society's Award of Garden Merit.

",No data available,No data available
132,Goeppertia roseopicta,"Goeppertia roseopicta is a species of flowering plant in the arrowroot and prayer-plant family Marantaceae, native to northwestern Brazil's Amazonian basin. Oftentimes, it is marketed as a houseplant under its former generic name and synonym Calathea roseopicta. It is a clump-forming, evergreen perennial, growing to 50 cm (20 in), and is very similar in appearance to G. makoyana. The typical ""wild-type"", or ""natural"" form, has papery, ovate leaves of a pastel, seafoam-green hue, outlined with a dark-green edging and ""painted"" horizontally from the midribs with darker streaks; typical of other species in its family and genus, G. roseopicta features dark reddish, purplish backsides to its foliage, an evolutionary adaptation to growing in darkened or shaded areas on the forest floor, where adequate light reflection is required for photosynthesis.
Certain varietals and cultivars available in the plant trade often feature very dark-green to blackish or purple-mauve leaves with a range of pinks, reds and whites, often with little to no green tones. Common varietals include Goeppertia roseopicta 'Dottie', 'Rosy' and 'Royale', among others.
G. roseopicta is tender, with a minimum temperature of 16 °C (61 °F) required, and in temperate areas is cultivated indoors as a houseplant. It requires a constant temperature of 18–24 °C (64–75 °F), high humidity levels at all times, and bright indirect light. This plant has gained the Royal Horticultural Society's Award of Garden Merit as a houseplant.
Bora people use the plant medicinally.",No data available,No data available
133,Goeppertia rufibarba,"Goeppertia rufibarba (syn. Calathea rufibarba), the furry feather or velvet calathea, is a species of flowering plant in the Marantaceae family, native to Bahia state of northeastern Brazil. The plant's common names are due to its fuzzy, fur-like underleaf texture, which is unusual in its genus. Common as a houseplant, the species requires warm temperatures, shade, and humidity to thrive, and may produce small yellow flowers. It has gained the Royal Horticultural Society's Award of Garden Merit.",No data available,No data available
134,Goeppertia zebrina,"Goeppertia zebrina, the zebra plant, is a species of plant in the family Marantaceae, native to southeastern Brazil. It is sometimes known by the synonym Calathea zebrina. Goeppertia zebrina has gained the Royal Horticultural Society's Award of Garden Merit. 

","It is tender, with a minimum temperature of 16 °C (61 °F) required, and in temperate areas is cultivated indoors as a houseplant. Normal room temperature, that is around 20°C, is suitable for this plant all year round. It prefers a brightly-lit spot, but does not tolerate direct sunlight. The soil should be kept moist throughout the summer, when it cannot tolerate drought. Nutrition can be given every other week during the growing season from spring to fall, but no supplement in the winter. To give the blades a pleasant humidity, it can be showered with tepid water as often as possible. Replanting takes place when needed during the spring.",No data available
135,Guzmania lingulata,"Guzmania lingulata, the droophead tufted airplant or scarlet star, is a species of flowering plant in the family Bromeliaceae, subfamily Tillandsioideae. This evergreen epiphytic perennial is native to rainforest habitats in Central America, northern and central South America and southern Mexico. The Latin word lingulata means ""tongue-shaped"". The foliage grows in a star-shaped basal rosette culminating in an orange and red bracted inflorescence.  It is among the most commonly cultivated bromeliad types, with cultivars producing flowers in shades of maroon, red, orange, yellow or pink.

",No data available,No data available
136,Guzmania musaica,"Guzmania musaica is a species of flowering plant in the family Bromeliaceae. This species is native to Costa Rica, Panama, Ecuador (Esmeraldas, Imbabura), Venezuela and Colombia (Antioquia, Choco, Narino, Norte de Santander, Valle del Cauca).

",No data available,No data available
137,Guzmania sanguinea,"Guzmania sanguinea is a species of plant in the family Bromeliaceae. This species is native to Trinidad and Tobago, Costa Rica (including Costa Rican islands in the Pacific), Panama, Colombia, Venezuela, Ecuador, and northern Brazil.",No data available,No data available
138,Gymnocalycium mihanovichii,"Gymnocalycium mihanovichii is a species of cactus from South America. The most popular cultivars are varied mutants which completely lack chlorophyll, exposing the red, orange, or yellow pigmentation. These mutant strains are often grafted onto the hylocereus cactus, and the combined plant is called a ""Moon Cactus"". Moon cacti are commonly grown as houseplants and are also known as Ruby Ball, Red Cap, Red Hibotan, or Hibotan cacti.

",No data available,No data available
139,Gynura aurantiaca,"Gynura aurantiaca, called purple passion or velvet plant, is a species of flowering plant in the daisy family Asteraceae. It is native to Southeast Asia but grown in many other places as a house plant. In warm regions, it is frequently grown outdoors on patios and in gardens rather than inside buildings, and hence it has escaped into the wild in Africa, Australia, South America, Mesoamerica, Florida, and a few other places.

",No data available,No data available
140,Heptapleurum arboricola,"Heptapleurum arboricola (syn. Schefflera arboricola, Chinese: 鹅掌藤; pinyin: ézhǎng téng; lit. 'goose-sole vine') is a flowering plant in the family Araliaceae, native to Hainan Province, China and Taiwan. Its common name is dwarf umbrella tree, as it resembles a smaller version of the umbrella tree, Heptapleurum actinophyllum.

","Heptapleurum arboricola is commonly grown as a houseplant, popular for its tolerance of neglect and poor growing conditions. It is also grown as a landscape (garden) plant in milder climates where frosts are not severe. Numerous cultivars have been selected for variations in leaf colour and pattern, often variegated with creamy-white to yellow edges or centres, and dwarf forms. The cultivar 'Gold Capella' has gained the Royal Horticultural Society's Award of Garden Merit.","=
All parts of the plant contain calcium oxalate crystals, saponins and terpenoids, toxic compounds which are irritants for cats and dogs. They can cause swelling (in some cases leading to breathing difficulties), burning of the mouth, difficulty swallowing, vomiting, diarrhoea, and itching. For humans, the plant is low-severity poison and a skin irritant which can cause contact dermatitits."
141,Homalomena philippinensis,"Homalomena is a genus of flowering plants in the family Araceae. Homalomena are native to tropical Asia and China.  Many Homalomena have a strong smell of anise. The name derives apparently from a mistranslated Malayan vernacular name, translated as homalos, meaning flat, and mene = moon.
The plants of this genus are clump-forming evergreen perennials with mainly heart-shaped or arrowheaded shaped leaves. The flowers are tiny and without petals, enclosed in a usually greenish spathe hidden by the leaves.
Some authors have proposed splitting the genus and moving all the  neotropical species of Homalomena to Adelonema.

",No data available,No data available
142,Hoya bella,"Hoya bella, the beautiful hoya, waxflower or pretty waxflower, is a species of tropical epiphyte with trailing stems, slightly succulent leaves and pendant umbels of fragrant, white and purple flowers. It is an asclepiad in the periwinkle and milkweed family, Apocynaceae.

",No data available,No data available
143,Hoya carnosa,"Hoya carnosa, the porcelain flower or wax plant, is a species of flowering plant in the family Apocynaceae, native to East Asia. It is a common house plant grown for its attractive waxy foliage, and sweetly scented flowers. It is grown well in pots and hanging baskets.
Hoya carnosa has been in cultivation for more than 200 years and has given rise to many cultivars that vary in foliage form or flower color. In cultivation in the UK it has gained the Royal Horticultural Society's Award of Garden Merit.

","Hoya carnosa prefers indirect bright light, but will tolerate much less. Though it will tolerate low temperatures (but not freezing), the optimal temperature is 60–85 °F (16–29 °C). It can be propagated by air layering or by stem cuttings. It benefits from an open potting medium that allows some air to get to the roots. Typical mixes include large-grade drainage material such as perlite, pumice, or ceramic balls. The plants should be fed regularly with a fertilizer suitable for epiphytic plants.
There is a persistent piece of belief that hoyas prefer to be pot-bound (kept in a small pot). It is said that this will hasten flowering.
Studies at the University of Georgia, published in 2009, have shown H. carnosa to be an excellent remover of pollutants in the indoor environment.",No data available
144,Hoya multiflora,"Hoya multiflora, commonly known as shooting star hoya, is a species of evergreen tropical plants in the oleander and frangipani family Apocynaceae. It is an epiphytic shrub to about 2.5 m (8 ft 2 in) tall, producing large clusters of distinctive ""shooting star"" flowers. It is native to Assam, Bangladesh, southern China, Indo-China and Malesia.

",No data available,No data available
145,Huernia macrocarpa,"The genus Huernia (family Apocynaceae, subfamily Asclepiadoideae) consists of perennial, stem succulents from Eastern and Southern Africa and Arabia, first described as a genus in 1810.
The flowers are five-lobed, usually somewhat more funnel- or bell-shaped than in the closely related genus Stapelia, and often striped vividly in contrasting colors or tones, some glossy, others matte and wrinkled depending on the species concerned. Frequently the flowers are colored a variation of red, yellow or brown. To pollinate, the flowers attract flies by emitting a scent similar to that of carrion. The genus is considered close to the genera Stapelia and Hoodia. Phylogenetic studies have shown the genus to be monophyletic, and most closely related to the genus Tavaresia, and to a widespread branch of stapeliads comprising the genera Orbea, Piaranthus and Stapelia.
The name of the plant is in honor of Justus van Heurne (1587–1653?) a Dutch missionary, botanist, and doctor, who is reputed to have been the first European to document and collect South African Cape plants. His surname has variations (van Horne, Heurnius, van Heurnius), however it was misspelled by the plant collector.
Various species of Huernia are considered famine food by the inhabitants of Konso special woreda in southern Ethiopia. The local inhabitants, who call the native species of this genus baqibaqa indiscriminately, eat it with prepared balls of sorghum (kurkufa); they note that baqibaqa tastes relatively good and has no unpleasant side-effects when boiled and consumed. As a result, local farmers encouraged it to grow on stone walls forming the terraces, where it does not compete with other crops.

",No data available,No data available
146,Hypoestes phyllostachya,"Hypoestes phyllostachya, the polka dot plant, is a species of flowering plant in the family Acanthaceae, native to South Africa, Madagascar, and south east Asia. The spots often merge into larger areas of colour.
The genus name Hypoestes comes from the Greek hypo, meaning ""under"", and estia meaning ""a house""; this refers to the calyxes being covered by bracts. The Latin specific epithet phyllostachya means ""with a leaf spike"".

","Hypoestes phyllostachya is cultivated as an ornamental plant and is familiar as a houseplant, but can also be grown outside as an annual plant in cooler climates or a perennial in the subtropics and tropics. In the UK it has gained the Royal Horticultural Society's Award of Garden Merit. Many different cultivars have been created with different foliage colors.
This plant does best in partial sun. In the United States, it is winter hardy in zones 10 and 11. It has low drought tolerance, but is rarely damaged by deer. It spreads by cuttings and seedlings.",No data available
147,Impatiens hawkeri,"Impatiens hawkeri, the New Guinea impatiens, is a species of flowering plant in the family Balsaminaceae. It is native to Papua New Guinea and the Solomon Islands. It has been bred and hybridized in cultivation to produce a line of garden plants.

","It was first collected in the Territory of Papua in 1884 and soon became popular as a greenhouse plant. After its discovery, fifteen other similar New Guinea taxa were collected, all of which were later determined to be forms of I. hawkeri.
Plants with a great variety of flower and leaf colours are sold in nurseries. The species has been crossed with Impatiens aurantiaca and I. platypetala to improve characteristics such as drought resistance.",No data available
148,Jatropha podagrica,"Jatropha podagrica is a species of flowering, caudiciform succulent plant in the spurge family, Euphorbiaceae, aligning it closely with related genera such as Croton, Euphorbia and Ricinus (castor bean), among others. It is native to the neotropics of Central America and southern Mexico, but is grown as an ornamental plant in many parts of the world due to its unusual appearance and mature caudex development. Common names for the species include gout-plant, gout-stalk, Guatemalan rhubarb, coral-plant, Buddha-belly plant, purging-nut, physic-nut, goutystalk nettlespurge, Australian bottleplant (a geographical misnomer) and tartogo.","The swollen caudex, showy leaves, and colourful flowers make J. podagrica an attractive ornamental, and it is grown as an indoor plant in many parts of the world.","All parts of the plant are considered toxic, in particular the seeds. The main toxins are a purgative oil and a phytotoxin or toxalbumin (curcin) similar to ricin in Ricinis."
149,Justicia brandegeeana,"Justicia brandegeeana, the Mexican shrimp plant, shrimp plant or false hop, is an evergreen shrub in the genus Justicia of the acanthus family Acanthaceae, native to Mexico, and also naturalized in Florida.
It grows to 1 m tall (rarely more) with spindly limbs. The leaves are oval, green, 3–7.5 cm long. The flowers are white, extending from red bracts which look somewhat like shrimps, hence the common name ""shrimp flower"".
The specific epithet is named for the American botanist Townshend Stith Brandegee (1843–1925). It is sometimes misspelled ""brandegeana"".

","The shrimp plant thrives in the shade in tropical areas. It does best in well-drained sandy or loamy soil, but is generally low maintenance and drought-tolerant.  As it dislikes temperatures below 7 °C (45 °F), in cooler temperate areas it is best grown under glass, where it is excellent as a potted houseplant, owing to its ability to tolerate low light and some neglect. Fertilization is not required.
The shape is generally long and spindly.  If trimmed back regularly, it can maintain a bushy habit and will not need support.  If the branches are allowed to grow long, they will become unable to support themselves and sag towards the ground.
Numerous cultivars are available, with different flower bract colors, including yellow, pink and dark brick-red.
It can be propagated by stem cuttings.
This plant has gained the Royal Horticultural Society's Award of Garden Merit.
In terms of maintenance, if Justicia brandegeeana is not kept well trimmed it can become a messy shrub. Also, if left alone can grow over 24 inches tall. It therefore requires trimming back annually if it is to hold its shape and retain a desirable size. This shrub is expected to last for 10 to 20 years.",No data available
150,Kalanchoe 'Tarantula',"Kalanchoe 'Tarantula', or Kalanchoe katapifa 'Tarantula', is a succulent cultivar in the kalanchoe genus that produces small bouquets of pink flowers.

","It is cultivated as houseplant and as a rock or garden plant. In winter, it thrives in bright light indoors as it is frost-intolerant. In summer it would need bright indirect light with some shade.",No data available
151,Kalanchoe daigremontiana,"Kalanchoe daigremontiana, formerly known as Bryophyllum daigremontianum and commonly called mother of thousands, alligator plant or Mexican hat plant, is a succulent plant native to Madagascar. Like other members of Bryophyllum (now included in the genus Kalanchoe), it can propagate vegetatively from plantlets that develop on its leaf margins, as well as through upshoots from lateral roots, and seeds. All parts of this species contain a very toxic steroid known as daigremontianin.
It is often confused with Kalanchoe laetivirens, Kalanchoe delagoensis and Kalanchoe × houghtonii. The leaves of Kalanchoe laetivirens are completely green, while Kalanchoe daigremontiana has bands or spots on the back of leaves. The leaves of Kalanchoe delagoensis are linear, while Kalanchoe daigremontiana has lanceolate, oblong, ovate or triangular leaves. Kalanchoe × houghtonii is a hybrid between Kalanchoe daigremontiana and Kalanchoe delagoensis, therefore has characteristics in between; its leaves are narrower than those of Kalanchoe daigremontiana and its leaf base is attenuate, cuneate to weakly cordate or auriculate, while Kalanchoe daigremontiana has strongly cordate to auriculate or even peltate leaves.

",No data available,No data available
152,Kalanchoe gastonis-bonnieri,"Kalanchoe ( KAL-əng-KOH-ee), (also called ""kalanchöe"" or ""kalanchoë""), is a genus of about 125 species of tropical, succulent plants in the stonecrop family Crassulaceae, mainly native to Madagascar and tropical Africa.  A Kalanchoe species was one of the first plants to be sent into space, sent on a resupply to the Soviet Salyut 6 space station in 1979. The majority of kalanchoes require around 6–8 hours of sunlight a day; a few cannot tolerate this, and survive with bright, indirect sunlight to bright shade.

","These plants are cultivated as ornamental houseplants and rock or succulent garden plants.  They are popular because of their ease of propagation, low water requirements, and wide variety of flower colors typically borne in clusters well above the leaves. The section Bryophyllum—formerly an independent genus—contains species such as the ""air-plant"" Kalanchoe pinnata. In these plants, new individuals develop vegetatively as plantlets, also known as bulbils or gemmae, at indentations in leaf margins. These young plants eventually drop off and take root. No males have been found of one species of this genus which does flower and produce seeds, and it is commonly called the mother of thousands: Kalanchoe daigremontiana is thus an example of asexual reproduction.
The cultivars 'Tessa' and 'Wendy' have gained the Royal Horticultural Society's Award of Garden Merit.",No data available
153,Kalanchoe manginii,"Kalanchoe ( KAL-əng-KOH-ee), (also called ""kalanchöe"" or ""kalanchoë""), is a genus of about 125 species of tropical, succulent plants in the stonecrop family Crassulaceae, mainly native to Madagascar and tropical Africa.  A Kalanchoe species was one of the first plants to be sent into space, sent on a resupply to the Soviet Salyut 6 space station in 1979. The majority of kalanchoes require around 6–8 hours of sunlight a day; a few cannot tolerate this, and survive with bright, indirect sunlight to bright shade.

","These plants are cultivated as ornamental houseplants and rock or succulent garden plants.  They are popular because of their ease of propagation, low water requirements, and wide variety of flower colors typically borne in clusters well above the leaves. The section Bryophyllum—formerly an independent genus—contains species such as the ""air-plant"" Kalanchoe pinnata. In these plants, new individuals develop vegetatively as plantlets, also known as bulbils or gemmae, at indentations in leaf margins. These young plants eventually drop off and take root. No males have been found of one species of this genus which does flower and produce seeds, and it is commonly called the mother of thousands: Kalanchoe daigremontiana is thus an example of asexual reproduction.
The cultivars 'Tessa' and 'Wendy' have gained the Royal Horticultural Society's Award of Garden Merit.",No data available
154,Kalanchoe pinnata,"Kalanchoe pinnata, commonly known as cathedral bells, air plant, life plant, miracle leaf,,and love bush, is a succulent plant native to Madagascar. It is a popular houseplant and has become naturalized in tropical and subtropical areas. The species is distinctive for the profusion of miniature plantlets that form on the margins of its leaves, a trait it has in common with some other members of Bryophyllum (now included in Kalanchoe).
It is a succulent, perennial plant, about 1 m (39 in) tall, with fleshy cylindrical stems and young growth of a reddish tinge, which can be found in flower throughout most of the year.","In temperate regions, Kalanchoe pinnata is grown as an indoor ornamental plant. Like most succulents, it cannot survive hard frost and will not thrive in environments in which the temperature drops below 10 °C (50 °F). It favours well-drained soil, the roots being otherwise susceptible to rot. In the tropics, K. pinnata is grown outdoors in gardens, from which it may escape to become naturalised - often as an invasive weed.",No data available
155,Kishu mikan,"The kishu mikan (Citrus kinokuni ex Tanaka), from Japanese Kishū mikan (紀州蜜柑), is a hybrid variety of mikan, or mandarin orange (Citrus reticulata), found in Southern China and also grown in Japan.
The fruit is also known as Baby Mandarin, Tiny Tangerine, Mini Mandarin and Kishu Mandarin. It is sold under the brand name ""Cherry Orange"" in Europe. It is shaped like a mandarin, between 25 and 50 mm (0.98 and 1.97 in) in diameter. The fruit's orange skin is thin and smooth.
Some varieties of kishu, such as the mukaku kishu, are seedless. The species is used in creating seedless hybrid citrus. The largest variety is the hira kishu.","Kishu mandarin trees are commonly planted in household gardens in Japan, and grown in greenhouses, pots on balconies, sunny rooms, and commercial orchards.
They are small evergreen and perennial trees; they can live for centuries. Trees are often sold when about knee-high. They grow rapidly to a size of about 4 feet (1.2 meters) in diameter and 10 feet (3.0 m) in height (in pots, shorter: 7–8 ft or 2.1–2.4 m).

The trees flower abundantly in spring, around April in the northern hemisphere. Trees are self-fertile; manual transfer of pollen between blossoms (even just by shaking the branches) can improve yield. Trees thrive in high humidity but require well-drained soil. They require five hours of sun each day and will grow well and fruit in temperatures ranging from 55–75 °F (13–24 °C). If grown in containers, they can be taken indoors at night. 
There is some disagreement about their degree of cold-hardiness. They are moderately cold-hardy citrus, but it is said of the seedless mukakukishu variety that trees should be taken indoors or wrapped in a frost cloth when temperatures fall below either freezing, or 20 °F (−7 °C). It is said of the same variety that they are cold-hardy down to 5 °C (41 °F) or −10 °F (−23 °C). It is said that it can be grown in patio pots in hardiness zone 4-11, and in zones 8-11 outdoors, or in zones 3-11 patio and 8-11 outdoors, or in zones 9-10. Kishu mikan trees may be grafted onto various rootstocks. Rootstock hardiness may affect tree hardiness.

The fruit grows to 1–2 in (25–51 mm) in size and is harvested in mid-winter; in the Northern Hemisphere, this is November to February, depending on the local climate. Trees may fruit in their first year and typically yield 88 lb (40 kg) of fruit annually.
When the fruit is left on the tree for too long, it can lose its flavor, with the fruit becoming puffy and losing its acidity. Older trees may produce smaller fruits.
The fruit needs to be handled with care to avoid damage; it is usually picked by hand. Its small size makes harvesting and sorting it more labour-intensive per unit weight.",No data available
156,Kumara plicatilis,"Kumara plicatilis, formerly Aloe plicatilis, the fan-aloe, is a succulent plant endemic to a few mountains in the Fynbos ecoregion, of the Western Cape in South Africa. The plant has an unusual and striking fan-like arrangement of its leaves. It may grow as a large multistemmed shrub or as a small tree. It is one of the two species in the genus Kumara.","Kumara plicatilis is an attractive and interesting accent plant to have in a sunny garden. As such it is increasingly used as an ornamental plant for drought tolerant landscaping and rockeries. However it grows very slowly and consequently, outside of its natural habitat, it is often in danger of being overgrown, smothered and killed by faster growing plants in its vicinity.
In cultivation in the UK, this plant must be grown under glass as it does not tolerate freezing temperatures. However, it may be placed on a sunny terrace during the summer months. It has gained the Royal Horticultural Society's Award of Garden Merit.",No data available
157,Magnolia coco,"Magnolia coco, the coconut magnolia, is a species of flowering plant in the family Magnoliaceae, native to southern China, Taiwan, and northern Vietnam. A small tree from 7–13 ft (2–4 m) in the garden, it is hardy to zone 9, and can also be kept as a houseplant. It is incorrectly called Magnolia pumila in some sources. In Cambodia, it is called yi hoob flower [ផ្កាយីហ៊ុប]. 

",No data available,No data available
158,Maranta arundinacea,"Maranta arundinacea, also known as arrowroot, maranta, West Indian arrowroot, obedience plant or Bermuda arrowroot is a large, perennial herb found in rainforest habitats of the Americas, but cultivated in tropical regions worldwide.

",No data available,No data available
159,Maranta leuconeura,"Maranta leuconeura, widely known as the prayer plant due to its daily sunlight-dependent movements (which are said to resemble hands “in-prayer”), is a species of flowering plant in the family Marantaceae native to the Brazilian tropical forests. It is a variable, rhizomatous perennial, growing to 30 cm (12 in) tall and broad, with crowded clumps of evergreen, strikingly-marked oval leaves, each up to 12 cm (5 in) long. The plant spreads itself horizontally, carpeting an entire small area of forest floor, sending roots into the substrate at each leaf node.
Maranta, in-addition to fellow “prayer-plant” genera (like Calathea,  Ctenanthe,  Goeppertia and Stromanthe), is closely related to such groups as Alpinia,  Ensete, Canna,  Curcuma, Heliconia,  Musa and  Zingiber.","Maranta leuconeura is a well-known houseplant in temperate regions, requiring a minimum temperature of 15 °C (59 °F). As a plant that is native to rainforests, Maranta prefers bright indirect sunlight, high humidity, and well-drained soil that has a high humus content. Acidic, clay or loam soils are tolerable.
Direct sunlight should be avoided, as well as standing water. At daytime the ideal temperature is 21–27 °C and at night 16–21 °C; the night temperature should not be lower than 15 °C. Higher temperatures also require higher humidity, for example, just spraying.
During the growing season, spring and summer, Maranta houseplants require moist soil and fertilization every month. Slightly drier soils and reduced fertilizer application are recommended for the remainder of the year. In warmer climates, at USDA Zones 10b-11, it can be grown as groundcover in moist, shady areas.",No data available
160,Mimosa pudica,"Mimosa pudica (also called sensitive plant, sleepy grass, sleepy plant, action plant, humble plant, touch-me-not, touch-and-die, or shameplant) is a creeping annual or perennial flowering plant of the pea/legume family Fabaceae. It is often grown for its curiosity value: the sensitive compound leaves quickly fold inward and droop when touched or shaken and re-open a few minutes later. For this reason, this species is commonly cited as an example of rapid plant movement. Like a number of other plant species, it undergoes changes in leaf orientation termed ""sleep"" or nyctinastic movement. The foliage closes during darkness and reopens in light. This was first studied by French scientist Jean-Jacques d'Ortous. In the UK it has gained the Royal Horticultural Society's Award of Garden Merit.
The species is native to the Caribbean and South and Central America, but is now a pantropical weed, and can now be found in the Southern United States, South Asia, East Asia, Micronesia, Australia, South Africa, and West Africa as well. It is not shade-tolerant and is primarily found on soils with low nutrient concentrations.

","In cultivation, this plant is most often grown as an indoor short lived perennial but is also grown for groundcover. Propagation is generally by seed. Germination should take place in 2-3 weeks. Mimosa pudica grows most effectively in nutrient-poor soil that allows for substantial water drainage. However, this plant is also shown to grow in scalped and eroded subsoils. Typically, disrupted soil is necessary in order for M. pudica to become established in an area. Additionally, the plant is shade intolerant and frost-sensitive, meaning that it does not tolerate low levels of light or cold temperatures. Mimosa pudica does not compete for resources with larger foliage or forest canopy undergrowth.
In temperate zones it must be grown under protection, where the temperature falls below 13 °C (55 °F).",No data available
161,Monstera acacoyaguensis,"Monstera is a genus of 59 species of flowering plants in the arum family, Araceae, native to tropical regions of central and south America.",No data available,No data available
162,Monstera acuminata,"Monstera is a genus of 59 species of flowering plants in the arum family, Araceae, native to tropical regions of central and south America.",No data available,No data available
163,Monstera adansonii,"Monstera adansonii, the Adanson's monstera, Swiss cheese plant, or five holes plant, is a species of flowering plant from family Araceae, which is widespread across much of South America and Central America. Monstera adansonii is classified as a hemiepiphyte vine and can be found in tropical forests with hot and high humidity conditions. 
The common name ""Swiss cheese plant"" is also used for the also very often cultivated species Monstera deliciosa.

",No data available,No data available
